Date,Slot,Station,Location,Type,Volume (seconds),Volume (minutes),Product,Brand,Industry,Market,,Slot Categories
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,397,6.616666667,Ace Aster,Jhamtani Builders,Real Estate,Housing & Construction,,Morning : 9 AM - 12 PM
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,432,7.2,Ace Aster,Jhamtani Builders,Real Estate,Housing & Construction,,Afternoon : 12 PM - 6PM
2025-03-03,Night,Radio Mirchi,Pune,advertisement,303,5.05,Ace Aster,Jhamtani Builders,Real Estate,Housing & Construction,,Night : 6 PM - 12 AM
2025-03-03,Night,Radio Mirchi,Pune,advertisement,30,0.5,Advisory Services,RBI,Banking,Public Services,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,15,0.25,Advisory Services,RBI,Banking,Public Services,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,31,0.5166666667,Chola MS Motor Insurance,Chola MS,Insurance,Finance - Insurance,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,90,1.5,Chola MS Motor Insurance,Chola MS,Insurance,Finance - Insurance,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,40,0.6666666667,Dil Tod Diya Na,Shemaroo Entertainment Ltd.,Entertainment,Music,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,125,2.083333333,Epay Services,Bank of Baroda,Banking,Digital Payments,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,180,3,Epay Services,Bank of Baroda,Banking,Digital Payments,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,25,0.4166666667,Epay Services,Bank of Baroda,Banking,Digital Payments,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,154,2.566666667,Federal Bank,Federal Bank,Banking,Finance - Bank,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,71,1.183333333,Federal Bank,Federal Bank,Banking,Finance - Bank,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,255,4.25,Gaana App,Gaana,Entertainment,Music,,
