Date,Slot,Station,Location,Type,Volume (seconds),Volume (minutes),Product,Brand,Industry,Market,,,Slot Categories
2025-03-05,Night,Radio Mirchi,Pune,advertisement,104,1.733333333,Ace Aster,Jhamtani Builders,Real Estate,Housing & Construction,,,Morning : 9 AM - 12 PM
2025-03-05,Night,Radio Mirchi,Pune,advertisement,126,2.1,Acko Insurance,Acko,Insurance,Finance - Insurance,,,Afternoon : 12 PM - 6PM
2025-03-05,Night,Radio Mirchi,Pune,advertisement,32,0.5333333333,Advisory Services,RBI,Banking,Public Services,,,Night : 6 PM - 9 AM
2025-03-05,Night,Radio Mirchi,Pune,advertisement,97,1.616666667,Bima Sakhi,LIC,Insurance,Financial Services,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,48,0.8,Cement,Chhetinad Cement,Construction,Building Material,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,11,0.1833333333,Chettinad Cement,Chettinad,Construction,Construction,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,52,0.8666666667,Classic 350 Motorbike,Royal Enfield,Automotive,Automotive - Two-Wheelers,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,66,1.1,Comic con Pune,Comic con Pune,Entertainment,Events and Media,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,62,1.033333333,Construction & Development,Venkatesh buildcon,Real Estate,Housing,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,83,1.383333333,Diesel,Shell,Public Works,Petroleum Products,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,60,1,Electric Vehicle Exhibition,EV Expo,Automotive,Automotive - Electric Vehicles,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,92,1.533333333,Epay Services,Bank of Baroda,Banking,Digital Payments,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,13,0.2166666667,Gaana App,Gaana,Entertainment,Music,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,5,0.08333333333,Galaxy S25 Ultra,Samsung,Technology,Electronics,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,101,1.683333333,Gixxer Motorbike,Suzuki,Automotive,Automotive - Two Wheelers,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,123,2.05,Healthcare,Traffic update,Sumo General Insurance,Finance Insurance,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,69,1.15,Hector SUV,MG Motors,Automotive,Passenger Vehicles,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,130,2.166666667,Income Plan,PNB Met Life,Banking & Finance,Financial Services,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,45,0.75,Jeevan Labh Policy,LIC,Insurance,Financial Services,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,449,7.483333333,Mirchi Holified Party,Mirchi,Entertainment,Music and Events,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,61,1.016666667,Mirchi Top 20,Radio Mirchi,Entertainment,Broadcasting and Media,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,35,0.5833333333,Mirchi Youtube Channel,Mirchi Marathi,Entertainment,Digital Media and Music,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,18,0.3,Mirchi marathi youtube channel,Mirchi marathi,Entertainment,Digital Media and Music,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,294,4.9,Mirchi recharge morning,Radio Mirchi,Entertainment,Broadcasting and Media,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,31,0.5166666667,Mirchi-only female RJ on woman's day,Mirchi-only female RJ on woman's day,Entertainment,Program,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,60,1,Motor Insurance,Chola MS,Insurance,Finance - Insurance,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,98,1.633333333,Mutual Fund Investments,SBI,Financial Services,Banking,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,125,2.083333333,NSO Survey (National Statistical Office),Government of India,Government,Public Services and Data Collection,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,21,0.35,Pashu Aahar (Cattle Feed),Kapila Pashu Aahar,Animal Nutrition,Agriculture and Livestock,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,70,1.166666667,Petsafa,Petsafa,FMCG,Medical Equipment & Supplies,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,42,0.7,Property Solutions,The Real Estate Mall,Real Estate,Housing and Commercial Properties,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,40,0.6666666667,RJ Adhish Show,Radio Mirchi,Entertainment,Broadcasting and Media,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,41,0.6833333333,SD Emulsion Paint,SD,Paints and Coatings,Home Improvement and Construction,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,48,0.8,Srikhand,Gokul,FMCG,Food,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,70,1.166666667,Superhero Recharge Plans,Vodafone Idea (VI),Telecommunications,Telecommunications - Mobile services,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,60,1,Taigun,Volkswagen,Automotive,Automotive - Car,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,55,0.9166666667,Tax Services,Income tax department,Government,Public Services,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,21,0.35,Timber Coat (Wood Paint),SD,Paints and Coatings,Home Improvement and Construction,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,114,1.9,True Value Carnival,Maruti Suzuki,Automotive,Fair,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,69,1.15,Tyres,Apollo tyres,Automotive,Automotive - Vehicle Components,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,45,0.75,Union Bank,Union Bank,Banking,Finance,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,23,0.3833333333,Unknown,Union bank,Unknown,Unknown,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,60,1,Ar Mirdor,AR Realty,Real Estate,Property-Housing,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,79,1.316666667,Badhekar Group,Badhekar Group,Real Estate,Property - Housing,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,88,1.466666667,Comic con Pune,Comic con Pune,Entertainment,Events and Media,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,86,1.433333333,Jeena Sikho Ayurvedic Hospital,Jeena Sikho Ayurvedic Hospital,Healthcare,Services - Health,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,21,0.35,Knowlathon,Knowlathon,Education,Vocational Training & Schools,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,33,0.55,Naina Song,Diplomat,Entertainment,Movie Release,,,
2025-03-05,Night,Radio Mirchi,Pune,advertisement,31,0.5166666667,Public Survey,Swach Sarvekshan 2024,Public Works,Public Service Ads,,,
